,ids,link
0,1181274485456080896,http://archive.vn/xau9O
1,1181612193080578050,http://archive.vn/PZkqf
2,1181615490818613248,http://archive.vn/cLDoM
3,1181623227816263685,http://archive.vn/urlEn
4,1181698455812616197,http://archive.vn/SOB7N
5,1181914949624455168,http://archive.vn/hYHRG
6,1182312006289969152,http://archive.vn/q1B1S
7,1182321076422037504,http://archive.vn/DxcCl
8,1184459205593485314,http://archive.vn/indX9
9,1184783850142126081,http://archive.vn/Offdx
10,1184797397798604800,http://archive.vn/Lg9Uk
11,1185688301816209409,http://archive.vn/mEGCL
12,1186293829097402369,http://archive.vn/uqstD
13,1186668815016435712,http://archive.vn/OFZYe
14,1186979862214520833,http://archive.vn/ycz7O
15,1187016270258098177,http://archive.vn/huXi9
16,1187758338278412288,http://archive.vn/O0X4F
17,1189219126281150471,http://archive.vn/1ShkV
18,1189603781203431424,http://archive.vn/3gipI
19,1190208359028400132,http://archive.vn/WUUiZ
20,1191384701384167424,http://archive.vn/0vUtO
21,1191758871272050688,http://archive.vn/0oZix
22,1192100948266672130,http://archive.vn/W3k0P
23,1192543429638709249,http://web.archive.org/web/20191107204625/https://twitter.com/Luizianne13PT/status/1192543429638709249
24,1193954508696629248,http://web.archive.org/web/20191111181944/https://twitter.com/Luizianne13PT/status/1193954508696629248
25,1194629327268110337,http://web.archive.org/web/20191113145924/https://twitter.com/Luizianne13PT/status/1194629327268110337
26,1195299583594844165,http://web.archive.org/web/20191115123905/https://twitter.com/Luizianne13PT/status/1195299583594844165
27,1196831126133846016,http://web.archive.org/web/20191119164425/https://twitter.com/Luizianne13PT/status/1196831126133846016
28,1197158209724784641,http://web.archive.org/web/20191120143528/https://twitter.com/Luizianne13PT/status/1197158209724784641
29,1197161019510022149,http://web.archive.org/web/20191120143823/https://twitter.com/Luizianne13PT/status/1197161019510022149
30,1197171160577916929,http://web.archive.org/web/20191120152726/https://twitter.com/Luizianne13PT/status/1197171160577916929
31,1197183139476594688,http://web.archive.org/web/20191120161306/https://twitter.com/Luizianne13PT/status/1197183139476594688
32,1197491807367712770,http://web.archive.org/web/20191121123806/https://twitter.com/Luizianne13PT/status/1197491807367712770
33,1197533475500367873,http://web.archive.org/web/20191121152506/https://twitter.com/Luizianne13PT/status/1197533475500367873
34,1227234429120073728,http://web.archive.org/web/20200211145823/https://twitter.com/Luizianne13PT/status/1227234429120073728
35,1227272510204497920,http://web.archive.org/web/20200211170027/https://twitter.com/Luizianne13PT/status/1227272510204497920
36,1230127384118136835,http://web.archive.org/web/20200219135745/https://twitter.com/Luizianne13PT/status/1230127384118136835
37,1230167836724727809,http://web.archive.org/web/20200219163523/https://twitter.com/Luizianne13PT/status/1230167836724727809
38,1230489976573435910,http://web.archive.org/web/20200220135723/https://twitter.com/Luizianne13PT/status/1230489976573435910
39,1235615178059808768,http://web.archive.org/web/20200305172832/https://twitter.com/Luizianne13PT/status/1235615178059808768
40,1237387286079131648,http://web.archive.org/web/20200310152007/https://twitter.com/Luizianne13PT/status/1237387286079131648
41,1237742710078894080,
42,1238460689666244609,
